journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis	isbn
Journal of Back and Musculoskeletal Rehabilitation	2019-10-01	2020-07-21	2020-07-20	10.3233/bmr-181452	2023-05-31	1878-6324,1053-8127	4	2020-07-20	7437	655-667	10.3233	IOS Press	1	Crossref	73	73	12	Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Respiratory muscle training in non-athletes and athletes with spinal cord injury: A systematic review of the effects on pulmonary function, respiratory muscle strength and endurance, and cardiorespiratory fitness based on the FITT principle of exercise prescription	journal-article	http://dx.doi.org/10.3233/bmr-181452	33	BMR	NA	NA	NA	NA	NA	NA	Júlia Ribeiro Lemos, Felipe Amorim da Cunha, Agnaldo José Lopes, Fernando Silva Guimarães, Fabrício Vieira do Amaral Vasconcellos, Patrícia dos Santos Vigário	2020	12	FALSE	2.4	0.421	A4	NA
PLOS ONE	2017-12-08	2022-08-10	NA	10.1371/journal.pone.0187833	2022-08-10	1932-6203	12	2017-12-08	340	e0187833	10.1371	Public Library of Science (PLoS)	1	Crossref	88	88	7	Multidisciplinary	Respiratory resistance and reactance in adults with sickle cell anemia: Correlation with functional exercise capacity and diagnostic use	journal-article	http://dx.doi.org/10.1371/journal.pone.0187833	12	PLoS ONE	2017-12-08	en	http://dx.doi.org/10.1371/journal.pone.corrections_policy	NA	NA	NA	Cirlene de Lima Marinho, Maria Christina Paixão Maioli, Jorge Luis Machado do Amaral, Agnaldo José Lopes, Pedro Lopes de Melo	2017	7	TRUE	6.0	0.885	A1	NA
PLOS ONE	2019-03-07	2022-09-13	NA	10.1371/journal.pone.0213257	2022-09-13	1932-6203	3	2019-03-07	340	e0213257	10.1371	Public Library of Science (PLoS)	1	Crossref	65	65	5	Multidisciplinary	Respiratory resistance and reactance in adults with sickle cell anemia: Part 2—Fractional-order modeling and a clinical decision support system for the diagnosis of respiratory disorders	journal-article	http://dx.doi.org/10.1371/journal.pone.0213257	14	PLoS ONE	2019-03-07	en	http://dx.doi.org/10.1371/journal.pone.corrections_policy	NA	NA	NA	Cirlene de Lima Marinho, Maria Christina Paixão Maioli, Jorge Luis Machado do Amaral, Agnaldo José Lopes, Pedro Lopes de Melo	2019	5	TRUE	6.0	0.885	A1	NA
Neurology International	2014-11-14	2020-10-27	NA	10.4081/ni.2014.5442	2022-04-01	2035-8377,2035-8385	4	2014-11-14	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	1	Neurology (clinical)	Resting metabolic rate analysis in chronic hemiparesis patients	journal-article	http://dx.doi.org/10.4081/ni.2014.5442	6	Neurol Int	2014-11-14	NA	NA	NA	NA	NA	Mauricio De Sant’Anna Jr, Leonardo Coelho Eboli, Julio Guilherme Silva, Alan Gomes Dos Santos, Michele Lourenco, Adalgiza Mafra Moreno, Gabriel Rodriguez De Freitas, Marco Orsini	2014	1	TRUE	2.2	0.448	B2	NA
PLOS ONE	2019-07-10	2020-05-09	NA	10.1371/journal.pone.0219556	2022-03-30	1932-6203	7	2019-07-10	340	e0219556	10.1371	Public Library of Science (PLoS)	1	Crossref	32	32	1	Multidisciplinary	Return to self-reported physical activity level after an event of acute low back pain	journal-article	http://dx.doi.org/10.1371/journal.pone.0219556	14	PLoS ONE	2019-07-10	en	http://dx.doi.org/10.1371/journal.pone.corrections_policy	NA	NA	NA	Daniel Pozzobon, Leandro A. Calazans Nogueira, Paulo H. Ferreira, Daniel Steffens, Paula R. Beckenkamp, Fiona M. Blyth, Manuela L. Ferreira	2019	1	TRUE	6.0	0.885	A1	NA
Motriz: Revista de Educação Física	2021-12-17	2021-12-17	NA	10.1590/s1980-657420220018921	2022-04-04	1980-6574	spe1	2022	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	25	25	0	General Medicine,Health (social science)	Running velocity at maximum oxygen uptake and at maximum effort: important variables for female military pentathlon	journal-article	http://dx.doi.org/10.1590/s1980-657420220018921	28	Motriz: rev. educ. fis.	2022	NA	NA	NA	NA	NA	Míriam Raquel Meira Mainenti, Patrícia dos Santos Vigário, Hugo Brito Batista, Luiz Fernando Valverde Bastos, Danielli Braga de Mello	2022	0	TRUE	NA	0.223	B1	NA
Respiratory Care	2019-03-26	2022-09-30	2019-10	10.4187/respcare.06367	2022-10-01	0020-1324,1943-3654	10	2019-03-26	2694	1286-1292	10.4187	Daedalus Enterprises	1	Crossref	0	0	1	Critical Care and Intensive Care Medicine,Pulmonary and Respiratory Medicine,General Medicine	Serial Weekly Measurements of the Timed Inspiratory Effort Index Can Predict Successful Prolonged Weaning	journal-article	http://dx.doi.org/10.4187/respcare.06367	64	Respir Care	2019-03-26	en	NA	NA	NA	NA	Bruno Leonardo da Silva Guimarães, Leonardo Cordeiro de Souza, Fernando Silva Guimarães, Jocemir Ronaldo Lugon	2019	1	TRUE	4.1	0.656	A3	NA
Neurology International	2015-04-09	2020-10-27	NA	10.4081/ni.2015.5430	2023-03-25	2035-8377,2035-8385	1	2015-03-26	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	14	Neurology (clinical)	Similar effects of two modified constraint-induced therapy protocols on motor impairment, motor function and quality of life in patients with chronic stroke	journal-article	http://dx.doi.org/10.4081/ni.2015.5430	7	Neurol Int	2015-03-26	NA	NA	NA	NA	NA	Wilma Costa Souza, Adriana B. Conforto, Marco Orsini, Annette Stern, Charles André	2015	14	TRUE	2.2	0.448	B2	NA
Revista Neurociências	2014-02-05	2020-02-28	NA	10.4181/rnc.2013.21.895.16p	2022-04-05	0104-3579,1984-4905	04	2014-02-05	19929	604-619	10.34024	Universidade Federal de Sao Paulo	1	Crossref	0	0	2	Neurology (clinical),Neurology	Simulação Mental de Movimentos: Da Teoria à Aplicação na Reabilitação Motora	journal-article	http://dx.doi.org/10.4181/rnc.2013.21.895.16p	21	RNC	2014-02-05	NA	NA	NA	NA	NA	Aline Bastos, Gabriela Souza, Talita Pinto, Maitê Souza, Thiago Lemos, Luís Imbiriba	2014	2	TRUE	NA	NA	B2	NA
Supportive Care in Cancer	2015-07-04	2019-05-29	2016-02	10.1007/s00520-015-2835-1	2022-06-21	0941-4355,1433-7339	2	2015-07-05	297	731-736	10.1007	Springer Science and Business Media LLC	1	Crossref	33	33	16	Oncology	Skeletal related events in patients with bone metastasis arising from non-small cell lung cancer	journal-article	http://dx.doi.org/10.1007/s00520-015-2835-1	24	Support Care Cancer	2015-07-05	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Gustavo Telles da Silva, Anke Bergmann, Luiz Claudio Santos Thuler	2015	16	FALSE	5.1	0.984	A2	NA
Brazilian Journal of Medical and Biological Research	2017-03-03	2020-02-07	NA	10.1590/1414-431x20175700	2022-12-02	1414-431X,0100-879X	3	2017	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	39	39	12	Cell Biology,General Pharmacology, Toxicology and Pharmaceutics,General Medicine,Immunology,Physiology,Biochemistry,General Neuroscience,Biophysics,Automotive Engineering	Spirometry reference values in the Brazilian population	journal-article	http://dx.doi.org/10.1590/1414-431x20175700	50	Braz J Med Biol Res	2017	NA	NA	NA	NA	NA	R. Rufino, C.H. Costa, A.J. Lopes, A.I. Maiworm, K. Maynard, L.M.R.A. Silva, R.M. Dias	2017	12	TRUE	4.5	0.528	A3	NA
Journal of Chinese Integrative Medicine	2008-11-12	2017-06-18	2008-11-12	10.3736/jcim20081103	2022-11-19	1672-1977	11	2008-11-12	2046	1109-1116	10.3736	Journal of Chinese Integrative Medicine Press	1	Crossref	27	27	12	Complementary and alternative medicine	Statistical validation of strategies for Zang-Fu single patterndifferentiation	journal-article	http://dx.doi.org/10.3736/jcim20081103	6	J Chin Integr Med	NA	NA	NA	NA	NA	NA	DZ Ferre	2008	12	FALSE	NA	NA	NA	NA
Healthcare	2021-11-17	2021-11-29	NA	10.3390/healthcare9111560	2023-04-04	2227-9032	11	2021-11-16	1968	1560	10.3390	MDPI AG	1	Crossref	47	47	4	Health Information Management,Health Informatics,Health Policy,Leadership and Management	The Aftermath of the COVID-19 Crisis in Saudi Arabia: Respiratory Rehabilitation Recommendations by Physical Therapists	journal-article	http://dx.doi.org/10.3390/healthcare9111560	9	Healthcare	2021-11-16	en	NA	NA	NA	NA	Ravi Shankar Reddy, Ajay Prashad Gautam, Jaya Shanker Tedla, Arthur Sá Ferreira, Luis Felipe Fonseca Reis, Kalyana Chakravarthy Bairapareddy, Venkata Nagaraj Kakaraparthi, Kumar Gular	2021	4	TRUE	4.9	0.55	A3	NA
Journal of Physical Therapy Science	2014-03-25	2021-04-27	2014	10.1589/jpts.26.461	2023-04-19	0915-5287,2187-5626	3	2014	533	461-464	10.1589	Society of Physical Therapy Science	1	Crossref	25	25	11	Physical Therapy, Sports Therapy and Rehabilitation	The Effect of a Patellar Bandage on the Postural Control of Individuals with          Patellofemoral Pain Syndrome	journal-article	http://dx.doi.org/10.1589/jpts.26.461	26	J Phys Ther Sci	NA	en	NA	NA	NA	NA	Lilian Ramiro Felicio, Cátia de Lourdes Masullo, Marcelo Camargo Saad, Débora Bevilaqua-Grossi	2014	11	TRUE	NA	NA	C	NA
Neurology International	2015-12-31	2020-10-27	NA	10.4081/ni.2015.6057	2023-04-15	2035-8377,2035-8385	3	2015-12-31	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	10	Neurology (clinical)	The influence of fear of falling on orthostatic postural control: a systematic review	journal-article	http://dx.doi.org/10.4081/ni.2015.6057	7	Neurol Int	2015-12-31	NA	NA	NA	NA	NA	Nélio Silva De Souza, Ana Carolina Gomes Martins, Dângelo J.A. Alexandre, Marco Orsini, Victor Hugo Do Vale Bastos, Marco Antônio A. Leite, Silmar Teixeira, Bruna Velasques, Pedro Ribeiro, Juliana Bittencourt, André Palma da Cunha Matta, Pedro Moreira Filho	2015	10	TRUE	2.2	0.448	B2	NA
Revista Brasileira de Epidemiologia	2014-06-04	2020-08-20	2014-06	10.1590/1809-4503201400020012eng	2023-06-14	1415-790X	2	2014-06	530	437-451	10.1590	FapUNIFESP (SciELO)	1	Crossref	39	39	22	Epidemiology,Public Health, Environmental and Occupational Health,General Medicine	The International Classification of Functioning, Disability and Health: a systematic review of observational studies	journal-article	http://dx.doi.org/10.1590/1809-4503201400020012eng	17	Rev. bras. epidemiol.	NA	NA	NA	NA	NA	NA	Luciana Castaneda, Anke Bergmann, Ligia Bahia	2014	22	TRUE	3.7	0.693	A3	NA
Isokinetics and Exercise Science	2017-11-14	2019-12-02	2018-03-07	10.3233/ies-171179	2022-04-02	0959-3020,1878-5913	1	2018-03-07	7437	17-27	10.3233	IOS Press	1	Crossref	43	43	1	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine,Biophysics	The relationship between muscle function, lung function and quality of life in patients with chronic obstructive pulmonary disease (COPD)	journal-article	http://dx.doi.org/10.3233/ies-171179	26	IES	NA	NA	NA	NA	NA	NA	Ádrea L. Hora, Fernando S. Guimarães, Sara L.S. Menezes, Mauricio S. Soares, Priscila S. Bunn, Agnaldo J. Lopes	2018	1	FALSE	1.2	0.264	B1	NA
Asian Journal of Sports Medicine	2020-06-30	2023-01-15	NA	10.5812/asjsm.103030	2023-01-16	2008-000X,2008-7209	3	2020-06-30	3819	NA	10.5812	Briefland	1	Crossref	32	32	1	Orthopedics and Sports Medicine	The Relationship Between Postural Stability, Anthropometry Measurements, Body Composition, and Sport Experience in Judokas with Visual Impairment	journal-article	http://dx.doi.org/10.5812/asjsm.103030	11	Asian J Sports Med	2020-06-30	NA	http://dx.doi.org/10.5812/crossmark_update_policy	NA	NA	NA	Bruno Ferreira Jeronymo, Pablo Rodrigo de Oliveira Silva, Míriam Mainenti, Lilian Ramiro Felicio, Arthur de Sá Ferreira, Thiago Lemos de Carvalho, Patrícia Vigário	2020	1	TRUE	1.0	0.183	B1	NA
Fisioterapia em Movimento	2018-03-10	2022-08-15	NA	10.1590/1980-5918.030.s01.ao18	2022-08-15	1980-5918	suppl 1	2017	530	183-195	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	2	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Transcultural adaptation into Portuguese of an instrument for pain evaluation based on the biopsychosocial model	journal-article	http://dx.doi.org/10.1590/1980-5918.030.s01.ao18	30	Fisioter. mov.	2017	NA	NA	NA	NA	NA	Monique Rocha Peixoto dos Santos, Leandro Calazans Nogueira, Ney Armando Meziat-Filho, Rob Oostendorp, Felipe José Jandre dos Reis	2017	2	TRUE	0.3	0.131	B1	NA
Brazilian Journal Of Pain	2018-10-10	2020-09-03	2018	10.5935/2595-0118.20180057	2022-03-30	2595-0118	4	2018	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	0	Applied Mathematics	Transcultural adaptation of the Injustice Experience Questionnaire into Brazilian Portuguese	journal-article	http://dx.doi.org/10.5935/2595-0118.20180057	1	NA	NA	en	NA	NA	NA	NA	Daiane Lopes dos Santos, Marcella de Souza Marins, Leandro Calazans Nogueira, Renato S. Almeida, Michael John L. Sullivan, Felipe Reis	2018	0	TRUE	NA	NA	B1	NA
Jornal Brasileiro de Pneumologia	2011-03-03	2019-06-08	2011-02	10.1590/s1806-37132011000100009	2023-02-24	1806-3713	1	2011-02	530	54-60	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	11	Pulmonary and Respiratory Medicine	Três protocolos fisioterapêuticos: efeitos sobre os volumes pulmonares após cirurgia cardíaca	journal-article	http://dx.doi.org/10.1590/s1806-37132011000100009	37	J. bras. pneumol.	NA	NA	NA	NA	NA	NA	Cristina Márcia Dias, Raquel de Oliveira Vieira, Juliana Flávia Oliveira, Agnaldo José Lopes, Sara Lúcia Silveira de Menezes, Fernando Silva Guimarães	2011	11	TRUE	3.0	0.409	B1	NA
Neurology International	2013-11-11	2020-10-27	NA	10.4081/ni.2013.e23	2022-10-06	2035-8377,2035-8385	4	2013-11-11	1968	23	10.3390	MDPI AG	1	Crossref	0	0	15	Neurology (clinical)	Urinary dysfunction in women with multiple sclerosis: analysis of 61 patients from Rio de Janeiro, Brazil	journal-article	http://dx.doi.org/10.4081/ni.2013.e23	5	Neurol Int	2013-11-11	NA	NA	NA	NA	NA	Camila Rodrigues De Almeida, Kennedy Carneiro, Rossano Fiorelli, Marco Orsini, Regina Maria Papais Alvarenga	2013	15	TRUE	2.2	0.448	B2	NA
International Journal of Sports Medicine	2015-06-04	2017-05-23	NA	10.1055/s-0034-1395590	2022-12-30	0172-4622,1439-3964	10	2015-06-03	194	796-802	10.1055	Georg Thieme Verlag KG	1	Crossref	0	0	14	Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Utility of a Non-Exercise VO2max Prediction Model for Designing Ramp Test Protocols	journal-article	http://dx.doi.org/10.1055/s-0034-1395590	36	Int J Sports Med	2015-06-03	en	NA	NA	NA	NA	F. Cunha, A. Midgley, R. Montenegro, F. Vasconcellos, P. Farinatti	2015	15	FALSE	5.4	0.965	A2	NA
Research, Society and Development	2021-09-12	2021-09-12	NA	10.33448/rsd-v10i11.20026	2022-03-29	2525-3409	11	2021-09-11	19099	e575101120026	10.33448	Research, Society and Development	1	Crossref	0	0	0	Management Science and Operations Research,Mechanical Engineering,Energy Engineering and Power Technology	Utilização de cardiofrequencímetros para mensuração da Variabilidade da Frequência Cardíaca no repouso: uma revisão de literatura	journal-article	http://dx.doi.org/10.33448/rsd-v10i11.20026	10	RSD	2021-09-11	NA	NA	NA	NA	NA	Patrícia Castro, Tainah de Paula Lima, Roberto Miranda Ramos Costa, Felipe Amorim da Cunha, Patrícia dos Santos Vigário	2021	0	TRUE	NA	NA	C	NA
Revista Portuguesa de Pneumologia (English Edition)	2017-03-01	2019-09-19	2017-05	10.1016/j.rppnen.2017.01.004	2023-04-03	2173-5115	3	2017-05	78	132-138	10.1016	Elsevier BV	1	Crossref	32	32	2	General Medicine	Ventilation distribution and small airway function in patients with systemic sclerosis	journal-article	http://dx.doi.org/10.1016/j.rppnen.2017.01.004	23	Revista Portuguesa de Pneumologia (English Edition)	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	B.R.A. Silva, R. Rufino, C.H. Costa, V.S. Vilela, R.A. Levy, A.J. Lopes	2017	2	TRUE	NA	NA	NA	NA
Physiological Research	2019-08-08	2019-08-08	2018-12-30	10.33549/physiolres.933867	2023-02-10	1802-9973,0862-8408	NA	2018-12-09	19169	863-874	10.33549	Institute of Physiology of the Czech Academy of Sciences	1	Crossref	36	36	8	General Medicine,Physiology	Ventilation Distribution, Pulmonary Diffusion and Peripheral Muscle Endurance as Determinants of Exercise Intolerance in Elderly Patients With Chronic Obstructive Pulmonary Disease	journal-article	http://dx.doi.org/10.33549/physiolres.933867	NA	Physiol Res	2018-12-09	en	NA	NA	NA	NA	A. J. LOPES, P. S. VIGÁRIO, A. L. HORA, C. A. L. DEUS, M. S. SOARES, F. S. GUIMARÃES, A. S. FERREIRA	2018	8	TRUE	3.5	0.479	B1	NA
Arquivos de Neuro-Psiquiatria	2013-10-29	2017-05-27	2013-08	10.1590/0004-282x20130080	2023-02-03	0004-282X	8	2013-08	530	521-526	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	14	Neurology,Neurology (clinical)	Walking execution is not affected by divided attention in                patients with multiple sclerosis with no disability, but there is a motor planning                impairment	journal-article	http://dx.doi.org/10.1590/0004-282x20130080	71	Arq. Neuro-Psiquiatr.	NA	NA	NA	NA	NA	NA	Leandro Alberto Calazans Nogueira, Luciano Teixeira dos Santos, Pollyane Galinari Sabino, Regina Maria Papais Alvarenga, Luiz Claudio Santos Thuler	2013	14	TRUE	2.1	0.391	B2	NA
Journal of Physical Therapy Science	2015-04-01	2019-08-22	2015	10.1589/jpts.27.719	2022-04-04	0915-5287,2187-5626	3	2015	533	719-724	10.1589	Society of Physical Therapy Science	1	Crossref	41	41	10	Physical Therapy, Sports Therapy and Rehabilitation	What is the effect of peripheral muscle fatigue, pulmonary function, and body composition on functional exercise capacity in acromegalic patients?	journal-article	http://dx.doi.org/10.1589/jpts.27.719	27	J Phys Ther Sci	NA	en	NA	NA	NA	NA	Agnaldo José Lopes, Débora Pedroza Guedes da Silva, Arthur de Sá Ferreira, Leandro Kasuki, Mônica Roberto Gadelha, Fernando Silva Guimarães	2015	10	TRUE	NA	NA	C	NA
Poster Presentations	2021-11-24	2022-02-15	2021-11	10.1136/bjsports-2021-ioc.187	2022-03-29	NA	NA	2021-11	239	NA	10.1136	BMJ Publishing Group Ltd and British Association of Sport and Exercise Medicine	1	Crossref	0	0	0	NA	202 Variables associated with knee valgus in male soccer players during a single leg vertical landing task	proceedings-article	http://dx.doi.org/10.1136/bjsports-2021-ioc.187	NA	NA	2021-11-23	NA	http://dx.doi.org/10.1136/crossmarkpolicy	NA	NA	NA	Gustavo Leporace, Matheus Vianna, Leonardo Metsavaht, Marcio Tannure, Alex Souto Maior	2021	0	TRUE	NA	NA	NA	NA
Journal of Neurologic Physical Therapy	2013-07-04	2021-05-14	2013-03	10.1097/npt.0b013e3182840354	2022-04-03	1557-0576	1	2013-03	276	44-45	10.1097	Ovid Technologies (Wolters Kluwer Health)	1	Crossref	0	0	0	Neurology (clinical),Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation	Associação Brasileira de Fisiotherapia Neurofunctional (ABRAFIN) Best Abstract Awards	journal-article	http://dx.doi.org/10.1097/npt.0b013e3182840354	37	NA	NA	en	NA	NA	NA	NA	 	2013	0	TRUE	6.4	0.884	A1	NA
Supportive Care in Cancer	2016-05-18	2019-05-28	2016-08	10.1007/s00520-016-3266-3	2022-04-06	0941-4355,1433-7339	8	2016-05-18	297	3281-3282	10.1007	Springer Science and Business Media LLC	1	Crossref	11	11	0	Oncology	Comment on “Linfotaping with kinesio® tape to manage and treat lymphedema patients: safety and tolerability are more important the efficacy?”	journal-article	http://dx.doi.org/10.1007/s00520-016-3266-3	24	Support Care Cancer	2016-05-18	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Jacqueline de Carvalho Martins, Suzana Sales de Aguiar, Erica Alves Nogueira Fabro, Rejane Medeiros Costa, Thiago Vilela Lemos, Vinicius Gienbinsky Guapyassú de Sá, Raphael Mello de Abreu, Mauro Figueiredo Carvalho de Andrade, Luiz Claudio Santos Thuler, Anke Bergmann	2016	0	FALSE	5.1	0.984	A2	NA
Supportive Care in Cancer	2016-03-18	2020-09-17	2016-08	10.1007/s00520-016-3169-3	2022-04-25	0941-4355,1433-7339	8	2016-03-18	297	3277-3278	10.1007	Springer Science and Business Media LLC	1	Crossref	5	5	1	Oncology	Comment on “Safety and tolerability of Kinesio® Taping in patients with arm lymphedema: medical device clinical study”. Taner Dandinoglu, Murat Karadeniz, Özgür Dandin, Ali Onay	journal-article	http://dx.doi.org/10.1007/s00520-016-3169-3	24	Support Care Cancer	2016-03-18	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Jacqueline de Carvalho Martins, Suzana Sales de Aguiar, Erica Alves Nogueira Fabro, Rejane Medeiros Costa, Thiago Vilela Lemos, Vinicius Gienbinsky Guapyassú de Sá, Raphael Mello de Abreu, Mauro Figueiredo Carvalho de Andrade, Luiz Claudio Santos Thuler, Anke Bergmann	2016	1	FALSE	5.1	0.984	A2	NA
Fisioterapia em Movimento	2015-01-10	2017-05-23	2014-12	10.1590/0103-5150.027.004.ed01	2022-04-01	0103-5150	4	2014-12	530	491-492	10.1590	FapUNIFESP (SciELO)	1	Crossref	1	1	0	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Concordar ou discordar: (eis) a questão da diversidade	journal-article	http://dx.doi.org/10.1590/0103-5150.027.004.ed01	27	Fisioter. mov.	NA	NA	NA	NA	NA	NA	 	2014	0	TRUE	0.3	NA	B1	NA
Journal of Bodywork and Movement Therapies	2019-04-02	2022-09-15	2019-07	10.1016/j.jbmt.2019.03.013	2022-09-16	1360-8592	3	2019-07	78	445	10.1016	Elsevier BV	1	Crossref	4	4	0	Complementary and alternative medicine,Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Letter to the editor	journal-article	http://dx.doi.org/10.1016/j.jbmt.2019.03.013	23	Journal of Bodywork and Movement Therapies	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Alex Souto Maior	2019	0	FALSE	2.5	0.404	A2	NA
Gait &amp; Posture	2017-10-12	2018-08-27	2017-09	10.1016/j.gaitpost.2017.07.062	2022-04-05	0966-6362	NA	2017-09	78	12	10.1016	Elsevier BV	1	Crossref	3	3	0	Rehabilitation,Orthopedics and Sports Medicine,Biophysics	Motor unit plasticity in stroke survivors: Altered distribution of gastrocnemius’ action potentials	journal-article	http://dx.doi.org/10.1016/j.gaitpost.2017.07.062	57	Gait &amp; Posture	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	T. Vieira, T. Lemos, L.A.S. Oliveira, C.H.R. Horsczaruk, F. Tovar-Moll, E.C. Rodrigues	2017	0	FALSE	4.8	0.779	A2	NA
Fisioterapia e Pesquisa	2014-07-30	2017-05-27	2014-04	10.1590/1809-2950/00121022014	2022-03-29	1809-2950	2	2014-04	530	101-102	10.1590	FapUNIFESP (SciELO)	1	Crossref	1	1	2	General Medicine	Neuromuscular diseases: revisiting the "overtraining"	journal-article	http://dx.doi.org/10.1590/1809-2950/00121022014	21	Fisioter. Pesqui.	NA	NA	NA	NA	NA	NA	Marco Orsini, Renata Hydee Hasue, Marco Antônio Araújo Leite, Sara Lúcia Silveira de Menezes, Júlio Guilherme Silva, Acary Bulle Oliveira	2014	2	TRUE	NA	NA	B1	NA
Journal of the Neurological Sciences	2015-11-02	2018-09-17	2015-10	10.1016/j.jns.2015.08.1257	2022-04-01	0022-510X	NA	2015-10	78	e352	10.1016	Elsevier BV	1	Crossref	0	0	0	Neurology (clinical),Neurology	The Impact of motor disability on daily life activities and in Tropical Spastic Paraparesis (HAM/TSP)	journal-article	http://dx.doi.org/10.1016/j.jns.2015.08.1257	357	Journal of the Neurological Sciences	NA	en	NA	NA	NA	NA	R.C. Caiafa, M. Orsini, V. Guedes, L. Machiarullo, M. Xavier, A.C.A.F. Ferreira, L.R. Felicio, M. Puccioni-Sohler	2015	0	FALSE	6.5	0.983	A3	NA
NA	2022-03-10	2022-03-10	NA	10.21203/rs.3.rs-1438806/v1	2023-04-21	NA	NA	2022-03-10	8761	NA	10.21203	Research Square Platform LLC	1	Crossref	0	0	1	NA	Cognitive Functional Therapy (CFT) compared with a combined Core Training Exercise and Manual Therapy in patients with non-specific chronic low back pain: a study protocol for a randomized controlled trial	posted-content	http://dx.doi.org/10.21203/rs.3.rs-1438806/v1	NA	NA	NA	NA	NA	NA	NA	NA	Julia Castro, Bruno de Sousa Donato, Bruno Arruda, Marina Jacobucci Pellegrini, Cíntia Pereira de Souza, Jessica Fernandez, Felipe José Jandre Reis, Luis Claudio Lemos Correa, Ney Meziat-Filho	2022	0	TRUE	NA	NA	NA	NA
NA	2021-12-28	2022-07-29	NA	10.21203/rs.3.rs-992517/v1	2022-07-29	NA	NA	2021-12-28	8761	NA	10.21203	Research Square Platform LLC	1	Crossref	0	0	0	NA	Immediate Effects of Spinal Manipulation on Painful Sensitivity and Postural Stability in Patients with Chronic Nonspecific Low Back Pain: Study Protocol for A Controlled Randomised Clinical Trial.	posted-content	http://dx.doi.org/10.21203/rs.3.rs-992517/v1	NA	NA	NA	NA	NA	NA	NA	NA	JOAO PAULO FREITAS, Leticia Amaral Corrêa, Juliana Valentim Bittencourt, Karine Marcondes Armstrongd, Leandro Alberto Calazans Nogueira	2021	0	TRUE	NA	NA	NA	NA
Poster Presentations	2021-11-24	2022-02-15	2021-11	10.1136/bjsports-2021-ioc.187	2022-03-29	NA	NA	2021-11	239	NA	10.1136	BMJ Publishing Group Ltd and British Association of Sport and Exercise Medicine	1	Crossref	0	0	0	NA	202 Variables associated with knee valgus in male soccer players during a single leg vertical landing task	proceedings-article	http://dx.doi.org/10.1136/bjsports-2021-ioc.187	NA	NA	2021-11-23	NA	http://dx.doi.org/10.1136/crossmarkpolicy	NA	NA	NA	Gustavo Leporace, Matheus Vianna, Leonardo Metsavaht, Marcio Tannure, Alex Souto Maior	2021	0	FALSE	NA	NA	NA	NA
Annals of the Rheumatic Diseases	2021-01-25	2021-01-25	2020-06	10.1136/annrheumdis-2020-eular.1641	2022-04-07	0003-4967,1468-2060	Suppl 1	2020-06	239	1577.1-1578	10.1136	BMJ	1	Crossref	0	0	0	General Biochemistry, Genetics and Molecular Biology,Immunology,Immunology and Allergy,Rheumatology	AB0561 AUTOMATIC QUANTIFICATION OF INTERSTITIAL LUNG DISEASE FROM CHEST COMPUTED TOMOGRAPHY IN SYSTEMIC SCLERODERMA	journal-article	http://dx.doi.org/10.1136/annrheumdis-2020-eular.1641	79	Ann Rheum Dis	2020-06-02	en	http://dx.doi.org/10.1136/crossmarkpolicy	NA	NA	NA	A. Carvalho, A. Guimarães, F. R. Sztajnbok, R. Rodrigues, B. Silva, A. Lopes, I. Almeida, M. França	2020	0	FALSE	32.8	6.489	A1	NA
