journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	abstract	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	archive	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Revista Portuguesa de Pneumologia	2013-12-04	2019-08-04	2014-01	10.1016/j.rppneu.2013.06.009	2022-04-02	0873-2159	1	2014-01	78	31-35	10.1016	Elsevier BV	1	Crossref	12	12	1	Pulmonary and Respiratory Medicine	Associação entre a mecânica respiratória e função autonómica na obesidade mórbida	journal-article	http://dx.doi.org/10.1016/j.rppneu.2013.06.009	20	NA	Revista Portuguesa de Pneumologia	NA	pt	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	M. Sant’ Anna Junior, R.F. Carvalhal, J.R.I. Carneiro, M.S. Lapa, W.A. Zin, J.R. Lugon, F.S. Guimarães	2014	1	TRUE	NA	NA	B2
Arquivos Brasileiros de Cardiologia	2015-01-29	2021-03-05	2015	10.5935/abc.20150012	2022-03-29	0066-782X	NA	2015	22636	NA	10.36660	Sociedade Brasileira de Cardiologia	1	Crossref	0	0	1	Cardiology and Cardiovascular Medicine	Association Between Hemodynamic Profile, Physical Capacity and Quality of Life in Pulmonary Hypertension	journal-article	http://dx.doi.org/10.5935/abc.20150012	NA	NA	NA	NA	en	NA	NA	NA	NA	NA	Diego de Faria Magalhães Torres, Walter Araujo Zin, Agnaldo José Lopes, Patrícia dos Santos Vigário, Marcelo Iorio Garcia, Daniel Waetge, Marcelo Luiz da Silva Bandeira, Luiz Gustavo Pignataro Bessa, Fernando Silva Guimarães	2015	1	TRUE	3.4	0,359	B2
BMC Research Notes	2021-02-17	2021-02-17	2021-12	10.1186/s13104-021-05479-x	2022-04-01	1756-0500	1	2021-02-16	297	NA	10.1186	Springer Science and Business Media LLC	1	Crossref	17	17	0	General Biochemistry, Genetics and Molecular Biology,General Medicine	Association between ventilatory efficiency, oxygen uptake, and Glittre-ADL test results in patients with chronic heart failure: a preliminary study	journal-article	http://dx.doi.org/10.1186/s13104-021-05479-x	14	<jats:title>Abstract</jats:title><jats:sec>
                <jats:title>Objective</jats:title>
                <jats:p>The Glittre-ADL test (GA-T) is a functional capacity test that stands out for encompassing multiple tasks similar to activities of daily living. As ventilatory efficiency is one of the variables valued in the prognosis of chronic heart failure (CHF), this study aimed to evaluate associations between functional capacity and ventilatory variables in patients with CHF during the GA-T.</jats:p>
              </jats:sec><jats:sec>
                <jats:title>Results</jats:title>
                <jats:p>Eight patients with CHF and New York Heart Association (NYHA) functional classification II–III underwent the GA-T coupled with metabolic gas analysis to obtain data by means of telemetry. The median total GA-T time was 00:04:39 (00:03:29–00:05:53). Borg dyspnoea scale scores before and after the GA-T were 2 (0–9) and 3 (1–10), respectively (<jats:italic>P</jats:italic> = 0.011). The relationship between the regression slope relating minute ventilation to carbon dioxide output (VE/VCO<jats:sub>2</jats:sub> slope) was correlated with the total GA-T time (r<jats:sub>s</jats:sub> = 0.714, <jats:italic>P</jats:italic> = 0.047) and Borg dyspnoea score (r<jats:sub>s</jats:sub> = 0.761, <jats:italic>P</jats:italic> = 0.028). The other ventilatory variables showed no significant correlations. Our results suggest that the total GA-T time can be applied to estimate the ventilatory efficiency of patients with CHF. Future studies may use the GA-T in conjunction with other functional capacity tests to guide the treatment plan and evaluate the prognosis.</jats:p>
              </jats:sec>	BMC Res Notes	2021-02-16	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA	Hebert Olímpio Júnior, Agnaldo José Lopes, Fernando Silva Guimarães, Sergio Luiz Soares Marcos da Cunha Chermont, Sara Lúcia Silveira de Menezes	2021	0	TRUE	4.2	0,534	B1
Fisioterapia e Pesquisa	2020-08-01	2021-01-23	NA	10.1590/1809-2950/19013727022020	2022-03-31	2316-9117,1809-2950	2	2020-06	530	168-173	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	0	General Medicine,General Medicine	Avaliação da distribuição do peso corporal em hemiparéticos: medidas posturográficas versus o instrumento Avaliação da Simetria e Transferência de Peso	journal-article	http://dx.doi.org/10.1590/1809-2950/19013727022020	27	<jats:p>RESUMO A assimetria na distribuição do peso corporal (DPC) é um achado comum após um acidente vascular cerebral. Embora a posturografia seja considerada o padrão-ouro para a detecção da assimetria da DPC, exige equipamentos e conhecimentos específicos, limitando seu uso na prática clínica. Por outro lado, a Escala de Avaliação da Simetria e Transferência de Peso (ASTP) é um método simples para identificar a assimetria na DPC. Entretanto, não foi testado se seus resultados estão relacionados às medidas posturográficas. Assim, o objetivo desse estudo foi avaliar a validade concorrente por meio da identificação do grau de associação entre a ASTP e as medidas posturográficas da DPC em indivíduos com hemiparesia. Sessenta indivíduos, com hemiparesia [mediana (min-max)] 58 (33-86) anos e 24 (6-29) meses desde o primeiro AVC, foram avaliados. zA DPC foi avaliada por meio da ASTP e da posturografia (percentual da DPC sobre o membro não parético). A mediana do escore ASTP foi 23 (14-27), “capacidade parcialmente boa de simetria e transferência de peso”. A posturografia revelou 59% de apoio do peso corporal (50-97) sobre o lado não parético. Além disso, identificou uma proporção maior de indivíduos assimétricos do que a ASTP (29 vs. 8; p=0,003). Não houve correlação significativa entre ASTP e %DPC (rho=0,001, p=0,992). Concluiu-se que a ASTP não está relacionada à assimetria na DPC estimada pela posturografia, sugerindo a necessidade de uma reavaliação de sua utilidade clínica.</jats:p>	Fisioter. Pesqui.	2020-06	NA	NA	NA	NA	NA	NA	Camilla Polonini Martins, Thiago Moreira Xarles, Thiago Lemos, Laura Alice Santos de Oliveira	2020	0	TRUE	NA	NA	B1
Journal of Aging and Physical Activity	2016-09-06	2022-08-02	2017-04	10.1123/japa.2016-0100	2022-09-13	1063-8652,1543-267X	2	2017-04	100	218-227	10.1123	Human Kinetics	1	Crossref	0	0	17	Geriatrics and Gerontology,Gerontology,Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation	Balance Control and Peripheral Muscle Function in Aging: A Comparison Between Individuals with Acromegaly and Healthy Subjects	journal-article	http://dx.doi.org/10.1123/japa.2016-0100	25	<jats:p>Advances in the knowledge of acromegaly are leading to an increase in the survival rate of acromegalic subjects. This study was conducted to evaluate balance control, risk of falls, and peripheral muscle function in acromegalic older adults. Seventeen older subjects with acromegaly (67 [63–73] years) and 20 paired control subjects were evaluated with balance scales, force platform, and knee isokinetic dynamometry tests. There were significant differences between the groups on several balance and gait scales, with a worse performance and greater risk of falls in the acromegalic older adults. Acromegalic older adults had lower values for peak torque, maximum repetition of the total work, and total work during extension at 240°/s. The acromegalic older adults had higher values in the medial-lateral range. Acromegaly subjects had lateral instability that compromises their body balance and increases the risk of falls. Moreover, there was a propensity for muscle fatigue in these individuals.</jats:p>	NA	NA	NA	NA	NA	NA	NA	NA	Telassin Silva Homem, Fernando Silva Guimarães, Maurício Santos Soares, Leandro Kasuki, Mônica Roberto Gadelha, Agnaldo José Lopes	2017	17	FALSE	3.0	0,507	A3
Neurology International	2015-09-24	2020-10-27	NA	10.4081/ni.2015.5886	2023-05-23	2035-8377,2035-8385	2	2015-09-24	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	23	Neurology (clinical)	Botulinum neurotoxin type A in neurology: update	journal-article	http://dx.doi.org/10.4081/ni.2015.5886	7	<jats:p>This paper reviews the current and most neurological (central nervous system, CNS) uses of the botulinum neurotoxin type A. The effect of these toxins at neuromuscular junction lends themselves to neurological diseases of muscle overactivity, particularly abnormalities of muscle control. There are seven serotypes of the toxin, each with a specific activity at the molecular level. Currently, serotypes A (in two preparations) and B are available for clinical purpose, and they have proved to be safe and effective for the treatment of dystonia, spasticity, headache, and other CNS disorders in which muscle hyperactivity gives rise to symptoms. Although initially thought to inhibit acetylcholine release only at the neuromuscular junction, botulinum toxins are now recognized to inhibit acetylcholine release at autonomic cholinergic nerve terminals, as well as peripheral release of neuro-transmitters involved in pain regulation. Its effects are transient and nondestructive, and largely limited to the area in which it is administered. These effects are also graded according to the dose, allowing individualized treatment of patients and disorders. It may also prove to be useful in the control of autonomic dysfunction and sialorrhea. In over 20 years of use in humans, botulinum toxin has accumulated a considerable safety record, and in many cases represents relief for thousands of patients unaided by other therapy.</jats:p>	Neurol Int	2015-09-24	NA	NA	NA	NA	NA	NA	Marco Orsini, Marco Antonio Araujo Leite, Tae Mo Chung, Wladimir Bocca, Jano Alves De Souza, Olivia Gameiro De Souza, Rayele Priscila Moreira, Victor Hugo Bastos, Silmar Teixeira, Acary Bulle Oliveira, Bruno Da Silva Moraes, André Palma Matta, Luis Jorge Jacinto	2015	23	TRUE	2.2	0,448	B2
Motriz: Revista de Educação Física	2014-12-18	2017-05-23	2014-12	10.1590/s1980-65742014000400011	2022-04-05	1980-6574	4	2014-12	530	442-447	10.1590	FapUNIFESP (SciELO)	1	Crossref	20	20	0	General Medicine,Health (social science)	Braking and propulsive impulses in individuals with patellofemoral pain syndrome when walking up and down stairs	journal-article	http://dx.doi.org/10.1590/s1980-65742014000400011	20	<jats:p>Patellofemoral pain syndrome (PFPS) is a prevalent clinical condition and it affects gait behavior. Braking and propulsive impulses are important biomechanical parameters obtained from ground reaction forces (GRF), which combine the amount of force applied over a period of time. The aim of this study was to evaluate these impulses while walking up and down stairs in healthy controls and PFPS individuals. The results did not reveal significant differences in braking and propulsive impulses between groups during these activities. Thus, the painful condition on a simple functional activity was insufficient to change the motor strategy to walking up or down the stairs.</jats:p>	Motriz: rev. educ. fis.	NA	NA	NA	NA	NA	NA	NA	Marcelo Camargo Saad, Renato Moraes, Lilian Ramiro Felicio, Débora Bevilaqua-Grossi	2014	0	TRUE	NA	0,223	B1
Arquivos de Neuro-Psiquiatria	2018-07-27	2020-11-06	NA	10.1590/0004-282x20180062	2023-03-15	1678-4227,0004-282X	7	2018-07	530	481-489	10.1590	FapUNIFESP (SciELO)	1	Crossref	65	65	9	Neurology,Neurology (clinical)	Brazilian consensus on Duchenne muscular dystrophy. Part 2: rehabilitation and systemic care	journal-article	http://dx.doi.org/10.1590/0004-282x20180062	76	<jats:p>ABSTRACT Significant advances in the understanding and management of Duchenne muscular dystrophy (DMD) have occurred since the publication of international guidelines for DMD care in 2010. Our objective was to provide an evidence-based national consensus statement for multidisciplinary care of DMD in Brazil. A combination of the Delphi technique with a systematic review of studies from 2010 to 2016 was employed to classify evidence levels and grade of recommendations for the guideline. Our recommendations were divided in two parts. Guideline methodology and overall disease concept descriptions are found in Part 1. Here we present Part 2, where we provide the results and recommendations on rehabilitation and systemic care for DMD.</jats:p>	Arq. Neuro-Psiquiatr.	2018-07	NA	NA	NA	NA	NA	NA	Alexandra P. Q. C. Araujo, Flavia Nardes, Clarisse P. D. D. Fortes, Jaqueline A. Pereira, Marcos F. Rebel, Cristina M. Dias, Rita de Cassia G. A. Barbosa, Mauro V. R. Lopes, Ana Lucia Langer, Flavio R. Neves, Edna Fátima Reis	2018	9	TRUE	2.1	0,391	B2
Perceptual and Motor Skills	2018-04-10	2018-04-10	NA	10.1177/0031512518767755	2022-04-14	0031-5125,1558-688X	NA	2018-04-09	179	003151251876775	10.1177	SAGE Publications	1	Crossref	46	46	2	Sensory Systems,Experimental and Cognitive Psychology	Brazilian Portuguese Version of the Amputee Body Image Scale: Cultural Adaptation and a Psychometric Analysis	journal-article	http://dx.doi.org/10.1177/0031512518767755	NA	NA	Percept Mot Skills	2018-04-09	en	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	NA	Lucilene Ferreira, Alinne G. M. Meregui, Miriam R. M. Mainenti, Patrícia S. Vigário, Angela N. Neves	2018	2	FALSE	2.8	0,465	B1
Perceptual and Motor Skills	2018-04-10	2018-04-10	NA	10.1177/0031512518767755	2022-04-14	0031-5125,1558-688X	NA	2018-04-09	179	003151251876775	10.1177	SAGE Publications	1	Crossref	46	46	2	Sensory Systems,Experimental and Cognitive Psychology	Brazilian Portuguese Version of the Amputee Body Image Scale: Cultural Adaptation and a Psychometric Analysis	journal-article	http://dx.doi.org/10.1177/0031512518767755	NA	NA	Percept Mot Skills	2018-04-09	en	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	NA	Lucilene Ferreira, Alinne G. M. Meregui, Miriam R. M. Mainenti, Patrícia S. Vigário, Angela N. Neves	2018	2	FALSE	2.8	0,465	B1
Asian Journal of Sports Medicine	2020-04-19	2020-06-30	NA	10.5812/asjsm.101400	2022-04-01	2008-000X,2008-7209	2	2020-04-19	3819	NA	10.5812	Kowsar Medical Institute	1	Crossref	38	38	4	Orthopedics and Sports Medicine	Cardiac Autonomic Control in Women with Rheumatoid Arthritis During the Glittre Activities of Daily Living Test	journal-article	http://dx.doi.org/10.5812/asjsm.101400	11	<jats:p>Background: Cardiovascular autonomic dysfunction is one of the most common complications in rheumatoid arthritis (RA), which can be assessed by heart rate variability (HRV) analysis. Because the autonomic nervous system plays an important role in orchestrating the cardiovascular response to stressors, assessing HRV during exercise is critical. The Glittre Activities of Daily Living test (GA-T) was recently proposed as a multitask field test that requires the performance of the upper and lower limbs, both of which are affected in individuals with RA. Objectives: This study was conducted to evaluate autonomic impairment by HRV in women with RA using the GA-T and to correlate these changes with physical functioning and muscle strength. Methods: This cross-sectional study enrolled 20 women (median [interquartile range]: age 55 [47.5 - 68.8] years) with RA (time since diagnosis: 15 [6.50 - 23.5] years) who underwent HRV assessment during GA-T. They also underwent physical functioning assessment through the Health Assessment Questionnaire Disability Index (HAQ-DI) and handgrip strength (HGS) and quadriceps strength (QS) measures. Results: The GA-T time exhibited significant correlations with the following HRV indices: root mean square of successive differences (RMSSD, rs = -0.451, P = 0.041), proportion of iRR differing by &gt; 50 ms from previous intervals (pNN50, rs = -0.697, P = 0.0006), high frequency (HF, rs = -0.693, P = 0.0007), standard deviation of the points perpendicular to the line-of-identity (SD1, rs = -0.476, P = 0.034), and approximate entropy (ApEn, rs = 0.545, P = 0.013). In addition, the HAQ-DI exhibited significant correlations with the following HRV indices: pNN50 (rs = -0.467, P = 0.038) and HF (rs = -0.444, P = 0.049). We did not observe significant correlation between the HRV indices during the GA-T and the muscle strength measures (HGS and QS). Conclusions: In women with RA, the longer the required to perform the GA-T the worse their parasympathetic modulation, sympathetic-vagal imbalance, and complexity of the autonomic nervous system (i.e., increased index of ApEn) were. Physical functioning level was also related to vagal modulation.</jats:p>	Asian J Sports Med	2020-04-19	NA	http://dx.doi.org/10.5812/crossmark_update_policy	NA	NA	NA	NA	Antonio Beira de Andrade Junior, Arthur de Sá Ferreira, Ana Carolina Brandão Assis, Leila Paula Alves da Silva Nascimento, Christiane Fialho Ribeiro, Jannis Vasileios Papathanasiou, Agnaldo José Lopes	2020	4	TRUE	1.0	0,183	B1
